"id","timestamp","node_id","node_name","gps_lat","gps_lng","gps_alt","temperature","humidity","pressure","pm2.5","pm10","pm1.0","formaldehyde","no2","bc","geom"
13068,2018-03-05 09:09:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26,1,973.8,0,0,0,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13076,2018-03-05 09:15:00,3566907703071345,"AirParif4",48.8534202576,2.34886002541,0,23.7,1,986.8,7,7,5,0.0920899963379,NA,NA,"0101000020E61000003524002077CA0240651100E03C6D4840"
13085,2018-03-05 09:20:00,3566907703071345,"AirParif4",48.8534202576,2.34886002541,0,24.2,1,986.8,5,5,4,0.0773799972534,NA,NA,"0101000020E61000003524002077CA0240651100E03C6D4840"
13097,2018-03-05 09:25:00,3566907703071345,"AirParif4",48.8534202576,2.34886002541,0,24.6,1,986.9,6,6,4,0.0673600006104,NA,NA,"0101000020E61000003524002077CA0240651100E03C6D4840"
13109,2018-03-05 09:30:00,3566907703071345,"AirParif4",48.8534202576,2.34886002541,0,24.9,1,986.9,6,7,5,0.0546500015259,NA,NA,"0101000020E61000003524002077CA0240651100E03C6D4840"
13069,2018-03-05 09:10:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,25.1,1,988.3,8,8,5,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13072,2018-03-05 09:12:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26,1,973.9,0,0,0,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13104,2018-03-05 09:27:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26.3,1,973.4,1,2,1,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13107,2018-03-05 09:29:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26,1,973.8,1,1,0,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13075,2018-03-05 09:14:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26.5,1,973.6,1,1,1,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13096,2018-03-05 09:24:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,25.9,1,973.8,0,0,0,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13091,2018-03-05 09:22:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26,1,973.8,0,1,0,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13082,2018-03-05 09:19:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26,1,973.9,0,0,0,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13080,2018-03-05 09:17:00,3566907703071345,"AirParif4",48.8628501892,2.32924008369,0,26.4,1,973.6,1,1,1,0,NA,NA,"0101000020E6100000C9D8FF9F48A2024010FBFFDF716E4840"
13118,2018-03-05 09:35:00,3566907703071345,"AirParif4",48.8534202576,2.34886002541,0,25.1,1,986.9,6,7,4,0.0456199989319,NA,NA,"0101000020E61000003524002077CA0240651100E03C6D4840"
